trial m1 m2 r F
1 0.8561 1.9131 0.3824 7.53e-10
2 1.4041 0.6148 0.0609 1.4975e-08
3 1.8352 1.9975 0.1751 7.864e-09
4 0.7339 0.613 0.3004 3.47e-10
5 0.5835 1.7261 0.0869 8.728e-09
6 1.2778 1.1384 0.0909 1.2234e-08
7 1.3462 1.8158 0.3878 1.109e-09
8 0.9478 1.7298 0.4757 4.93e-10
9 0.6187 1.5453 0.1877 1.759e-09
10 0.693 0.6742 0.0574 9.02e-09
11 0.5969 1.9795 0.0512 2.9154e-08
12 1.8259 1.3395 0.3177 1.643e-09
13 1.7394 1.3891 0.1976 3.968e-09
14 1.5242 1.9234 0.3489 1.533e-09
15 1.3704 0.9363 0.1845 2.641e-09
16 0.6412 1.7604 0.1139 5.657e-09
17 1.5954 1.6614 0.4507 9.02e-10
18 1.9123 1.702 0.4011 1.363e-09
19 1.2717 1.9159 0.2361 2.875e-09
20 1.0357 0.911 0.2391 1.083e-09
21 1.8923 1.4232 0.0521 6.46e-08
22 1.9589 0.5203 0.0732 1.3001e-08
23 0.6248 0.9794 0.4917 1.77e-10
24 1.2892 1.3896 0.4612 5.63e-10
25 1.552 1.0334 0.4382 5.71e-10
26 0.631 1.624 0.3704 5e-10
27 1.1078 1.7893 0.0848 1.7765e-08
28 1.2291 0.5073 0.3813 2.96e-10
29 1.0588 0.885 0.2358 1.161e-09
30 0.6043 1.1153 0.3017 4.91e-10
