T V m
269.7 0.08396 3.893
289.42 0.01644 4.6637
341.64 0.0896 4.6892
302.52 0.01965 0.2101
349.03 0.02637 3.0542
259.99 0.09176 1.5732
306.69 0.04785 0.1883
337.34 0.07478 1.1754
264.0 0.06875 1.5662
279.59 0.0543 2.8419
314.68 0.05554 0.4472
346.81 0.03407 0.914
311.74 0.00243 3.1101
271.22 0.04538 1.7615
321.36 0.04937 4.7753
264.19 0.04977 3.3074
261.41 0.07012 1.3769
308.82 0.0093 2.5308
280.54 0.04869 1.6238
344.67 0.04368 2.9513
251.16 0.00736 1.7572
261.88 0.07342 1.379
320.67 0.08591 2.5403
308.98 0.0211 3.5003
335.63 0.03021 0.1965
277.57 0.06308 3.414
256.24 0.02172 0.8743
302.5 0.02001 0.7589
309.69 0.03781 0.6094
345.77 0.07532 3.0991
304.71 0.07082 3.6292
311.42 0.07085 3.0592
348.55 0.03321 4.4835
275.58 0.03895 4.2604
299.47 0.00408 3.3819
341.85 0.00578 4.2519
290.95 0.07055 1.6007
311.67 0.0493 2.0677
318.0 0.0264 3.8473
349.4 0.04243 2.5239
282.08 0.0724 0.8478
274.66 0.01286 1.9521
263.71 0.01494 4.2454
302.68 0.06756 4.1286
293.48 0.08347 0.935
258.32 0.0846 1.5575
338.5 0.01332 4.183
307.2 0.04614 3.9281
320.65 0.07296 2.9229
348.95 0.06188 0.5116
